"","Post_ID","Cluster","Language","Ratio_Eng","Ratio_Ger"
"488","10038","1","English",0.488721804511278,0.0413533834586466
"489","10047","2","German",0.0526315789473684,0.342105263157895
"490","10067","2","German",0.0344827586206897,0.457854406130268
"491","10118","2","German",0.0408858603066439,0.528109028960818
"492","10099","2","German",0.0616438356164384,0.450342465753425
"493","10132","2","German",0.0608575380359613,0.261410788381743
"494","10158","1","English",0.337062937062937,0.0223776223776224
"495","10279","1","English",0.528552456839309,0.0385126162018592
"496","9020","2","German",0.0361111111111111,0.291666666666667
"497","10301","2","German",0.0338983050847458,0.450847457627119
"498","10310","1","English",0.402116402116402,0.0211640211640212
"499","10502","1","English",0.587869362363919,0.0373250388802488
"500","10493","2","German",0.0236220472440945,0.518110236220472
"501","10351","1","English",0.323374340949033,0.0228471001757469
"502","10405","2","German",0.0509993108201241,0.39421088904204
"503","9904","1","English",0.493887530562347,0.0366748166259169
"504","10612","1","English",0.474576271186441,0
"505","10602","1","English",0.500514933058702,0.0216271884654995
"506","10516","2","German",0.0247678018575851,0.373581011351909
"507","10628","2","German",0.0176470588235294,0.385294117647059
"508","10676","2","German",0.0346787947697555,0.387151790790222
"509","10459","2","German",0.0431965442764579,0.35097192224622
"510","10357","2","German",0.0311827956989247,0.412903225806452
"511","10639","1","English",0.502274795268426,0.0245677888989991
"512","10593","2","German",0.04860088365243,0.351988217967599
"513","10520","1","English",0.4860088365243,0.0250368188512518
"514","8403","2","German",0.03,0.447777777777778
"515","10902","1","English",0.533687943262411,0.0425531914893617
"516","10772","1","English",0.479378942261038,0.0402717127607957
"517","10654","2","German",0.0276729559748428,0.408176100628931
"518","11026","2","German",0.0571428571428571,0.421428571428571
"519","10686","2","German",0.0479867622724766,0.379481522338665
"520","10800","1","English",0.486153846153846,0.0292307692307692
"521","11049","1","English",0.451754385964912,0.0233918128654971
